,genres
0,"['action', 'adventure', 'scifi']"
1,"['crime', 'mystery', 'thriller']"
2,['thriller']
3,"['animation', 'comedy', 'family', 'fantasy']"
4,"['action', 'adventure', 'thriller', 'war']"
5,"['action', 'crime', 'thriller']"
6,"['horror', 'mystery', 'thriller']"
7,['thriller']
8,"['action', 'crime', 'fantasy']"
9,['scifi']
10,"['action', 'crime', 'thriller']"
11,"['animation', 'action', 'fantasy', 'adventure']"
12,"['action', 'thriller', 'crime']"
13,"['crime', 'drama', 'thriller']"
14,"['animation', 'comedy', 'adventure', 'family']"
15,"['animation', 'family', 'fantasy', 'comedy', 'adventure']"
16,['horror']
17,['thriller']
18,"['action', 'comedy', 'crime']"
19,"['action', 'comedy', 'crime', 'thriller']"
20,"['animation', 'comedy', 'family', 'music']"
21,['horror']
22,"['scifi', 'action', 'adventure']"
23,"['scifi', 'action', 'adventure']"
24,"['horror', 'action', 'scifi']"
25,"['action', 'thriller']"
26,"['action', 'thriller', 'crime', 'drama']"
27,"['action', 'adventure']"
28,"['animation', 'action', 'adventure', 'fantasy']"
29,"['fantasy', 'comedy', 'adventure']"
30,"['action', 'thriller']"
31,"['action', 'adventure', 'fantasy']"
32,"['romance', 'comedy', 'music']"
33,['horror']
34,"['drama', 'romance', 'crime']"
35,"['romance', 'drama']"
36,"['animation', 'fantasy']"
37,['action']
38,"['animation', 'comedy', 'family', 'western']"
39,"['drama', 'history', 'adventure']"
40,"['western', 'action']"
41,"['family', 'adventure', 'comedy', 'fantasy']"
42,['comedy']
43,"['animation', 'comedy', 'adventure', 'family']"
44,"['animation', 'family', 'comedy', 'fantasy']"
45,"['thriller', 'mystery', 'drama']"
46,"['animation', 'drama', 'comedy', 'horror']"
47,"['action', 'thriller']"
48,"['animation', 'scifi', 'family', 'comedy']"
49,"['comedy', 'action', 'adventure', 'scifi']"
50,"['comedy', 'crime']"
51,"['action', 'adventure', 'fantasy']"
52,"['animation', 'comedy', 'fantasy']"
53,"['drama', 'war']"
54,"['animation', 'comedy', 'family', 'fantasy']"
55,"['action', 'fantasy', 'adventure']"
56,"['action', 'adventure', 'fantasy', 'scifi']"
57,"['scifi', 'thriller']"
58,"['comedy', 'drama']"
59,"['scifi', 'adventure']"
60,"['fantasy', 'adventure', 'comedy']"
61,['horror']
62,['horror']
63,"['drama', 'horror', 'mystery']"
64,"['action', 'thriller']"
65,"['romance', 'drama']"
66,"['adventure', 'action', 'thriller']"
67,"['action', 'crime', 'thriller']"
68,"['scifi', 'drama', 'adventure']"
69,"['thriller', 'horror']"
70,"['animation', 'family', 'adventure', 'comedy']"
71,"['adventure', 'action', 'scifi']"
72,"['fantasy', 'action']"
73,"['action', 'adventure', 'scifi']"
74,"['animation', 'comedy']"
75,"['action', 'crime', 'thriller', 'adventure']"
76,"['action', 'adventure', 'scifi']"
77,"['comedy', 'drama']"
78,"['animation', 'comedy', 'family']"
79,"['comedy', 'romance', 'scifi']"
80,"['action', 'scifi', 'comedy', 'family']"
81,"['mystery', 'family']"
82,"['animation', 'action', 'adventure', 'scifi']"
83,"['action', 'drama', 'history']"
84,"['action', 'adventure', 'comedy', 'history']"
85,"['horror', 'mystery', 'thriller']"
86,"['drama', 'crime', 'thriller']"
87,"['romance', 'horror', 'thriller']"
88,"['action', 'adventure', 'comedy', 'fantasy']"
89,"['action', 'fantasy', 'scifi']"
90,"['action', 'adventure', 'fantasy']"
91,"['romance', 'crime']"
92,"['action', 'adventure', 'fantasy', 'scifi']"
93,"['animation', 'action', 'drama', 'scifi']"
94,"['crime', 'comedy']"
95,"['drama', 'romance']"
96,"['thriller', 'mystery']"
97,"['animation', 'family', 'adventure', 'fantasy', 'comedy']"
98,"['animation', 'family', 'adventure', 'comedy']"
99,"['action', 'scifi', 'adventure']"
100,"['family', 'comedy']"
101,['drama']
102,"['family', 'fantasy', 'animation', 'action', 'adventure']"
103,"['scifi', 'action', 'thriller']"
104,"['action', 'crime', 'thriller']"
105,"['crime', 'action', 'thriller']"
106,"['family', 'animation', 'comedy', 'scifi']"
107,"['tv movie', 'mystery', 'thriller', 'comedy']"
108,"['horror', 'mystery', 'thriller']"
109,"['action', 'crime', 'drama']"
110,"['romance', 'comedy']"
111,"['animation', 'comedy', 'family', 'fantasy']"
112,"['tv movie', 'thriller', 'crime']"
113,['horror']
114,"['horror', 'scifi', 'drama', 'thriller']"
115,"['thriller', 'war']"
116,"['action', 'adventure']"
117,"['action', 'thriller', 'crime']"
118,"['animation', 'fantasy', 'music', 'adventure', 'comedy', 'family']"
119,"['action', 'thriller', 'scifi']"
120,"['documentary', 'crime']"
121,"['romance', 'comedy']"
122,"['animation', 'adventure', 'comedy', 'family']"
123,"['action', 'adventure', 'fantasy']"
124,"['animation', 'comedy', 'family', 'adventure']"
125,"['animation', 'family', 'comedy', 'adventure', 'tv movie']"
126,['documentary']
127,"['animation', 'action', 'fantasy', 'adventure']"
128,"['war', 'history', 'drama']"
129,"['adventure', 'drama']"
130,"['horror', 'thriller']"
131,"['action', 'adventure', 'fantasy']"
132,"['action', 'adventure', 'fantasy']"
133,['horror']
134,"['animation', 'action', 'crime']"
135,"['drama', 'history', 'war']"
136,['action']
137,"['adventure', 'fantasy']"
138,"['scifi', 'action', 'adventure']"
139,"['horror', 'fantasy', 'mystery']"
140,"['horror', 'drama']"
141,"['action', 'adventure', 'fantasy', 'scifi']"
142,"['horror', 'thriller']"
143,['horror']
144,"['action', 'adventure', 'scifi']"
145,['documentary']
146,"['romance', 'drama']"
147,['thriller']
148,"['action', 'animation', 'scifi']"
149,"['animation', 'family', 'comedy']"
150,"['action', 'mystery', 'scifi', 'thriller']"
151,"['fantasy', 'horror', 'thriller', 'drama']"
152,"['action', 'mystery', 'scifi', 'thriller']"
153,['horror']
154,"['action', 'adventure', 'thriller']"
155,"['drama', 'romance', 'music']"
156,"['romance', 'drama']"
157,['horror']
158,"['animation', 'action', 'comedy']"
159,"['adventure', 'fantasy']"
160,"['action', 'scifi', 'comedy', 'family']"
161,"['family', 'animation', 'fantasy', 'music', 'comedy', 'adventure']"
162,['drama']
163,"['war', 'drama', 'action']"
164,"['thriller', 'horror']"
165,"['action', 'comedy', 'adventure']"
166,"['action', 'fantasy', 'adventure']"
167,"['action', 'romance', 'animation']"
168,"['action', 'adventure', 'scifi', 'drama']"
169,"['scifi', 'comedy']"
170,"['fantasy', 'action']"
171,"['adventure', 'scifi', 'action']"
172,"['thriller', 'mystery', 'horror']"
173,"['action', 'scifi', 'drama']"
174,"['romance', 'comedy']"
175,"['romance', 'drama']"
176,"['horror', 'action', 'thriller']"
177,"['comedy', 'drama', 'romance']"
178,"['drama', 'comedy']"
179,"['drama', 'scifi', 'thriller']"
180,"['animation', 'action', 'fantasy']"
181,"['comedy', 'family', 'animation']"
182,"['adventure', 'history', 'drama']"
183,"['animation', 'comedy']"
184,"['adventure', 'fantasy', 'family']"
185,"['animation', 'action', 'adventure', 'comedy', 'drama', 'fantasy', 'romance']"
186,"['horror', 'thriller']"
187,"['animation', 'family']"
188,"['horror', 'thriller', 'adventure', 'mystery']"
189,"['animation', 'drama', 'romance']"
190,"['family', 'animation', 'fantasy', 'adventure', 'comedy']"
191,"['action', 'adventure', 'animation', 'scifi']"
192,"['adventure', 'fantasy']"
193,"['crime', 'action', 'thriller']"
194,"['scifi', 'adventure', 'comedy']"
195,"['action', 'adventure', 'comedy']"
196,['western']
197,"['animation', 'comedy', 'family']"
198,"['adventure', 'animation', 'family', 'fantasy']"
199,"['comedy', 'drama', 'scifi']"
200,"['animation', 'adventure', 'comedy', 'family']"
201,"['fantasy', 'action', 'adventure']"
202,"['western', 'action', 'thriller']"
203,['horror']
204,"['adventure', 'action', 'scifi']"
205,"['animation', 'comedy', 'fantasy', 'family']"
206,"['adventure', 'action', 'fantasy']"
207,"['horror', 'thriller']"
208,"['scifi', 'thriller', 'horror']"
209,"['horror', 'drama', 'thriller']"
210,"['action', 'crime']"
211,"['action', 'crime', 'drama', 'thriller']"
212,"['animation', 'fantasy', 'family']"
213,"['action', 'adventure', 'fantasy']"
214,"['thriller', 'horror']"
215,"['action', 'crime', 'thriller']"
216,"['animation', 'action', 'adventure', 'fantasy']"
217,"['adventure', 'fantasy']"
218,"['comedy', 'romance']"
219,"['action', 'scifi', 'thriller']"
220,['drama']
221,"['drama', 'action', 'crime', 'thriller']"
222,"['animation', 'action', 'adventure', 'mystery']"
223,"['action', 'crime', 'drama', 'thriller']"
224,"['romance', 'drama']"
225,"['comedy', 'drama']"
226,"['action', 'thriller']"
227,"['animation', 'adventure', 'family', 'comedy']"
228,"['family', 'fantasy', 'adventure', 'comedy', 'horror']"
229,['comedy']
230,"['horror', 'drama']"
231,"['animation', 'scifi', 'action']"
232,['romance']
233,"['drama', 'thriller', 'war']"
234,"['animation', 'comedy', 'fantasy', 'adventure', 'family']"
235,"['action', 'comedy', 'documentary']"
236,"['adventure', 'family', 'animation', 'action', 'comedy']"
237,"['animation', 'comedy', 'fantasy']"
238,"['romance', 'comedy']"
239,"['action', 'adventure', 'fantasy']"
240,"['action', 'adventure']"
241,"['animation', 'family']"
242,"['action', 'crime', 'thriller']"
243,"['crime', 'horror']"
244,"['action', 'drama', 'crime']"
245,"['adventure', 'fantasy', 'mystery']"
246,"['crime', 'thriller']"
247,"['animation', 'comedy', 'mystery', 'family', 'fantasy']"
248,"['tv movie', 'animation', 'comedy', 'family', 'drama']"
249,"['family', 'animation', 'adventure', 'comedy', 'fantasy']"
250,"['horror', 'action']"
251,"['drama', 'scifi']"
252,"['scifi', 'thriller', 'mystery']"
253,"['fantasy', 'adventure']"
254,"['action', 'adventure', 'scifi']"
255,"['action', 'adventure', 'fantasy', 'scifi']"
256,"['horror', 'fantasy']"
257,"['family', 'animation', 'drama']"
258,"['drama', 'history']"
259,"['thriller', 'horror', 'mystery']"
260,"['action', 'fantasy']"
261,"['adventure', 'fantasy', 'drama', 'romance']"
262,"['crime', 'drama', 'thriller']"
263,['comedy']
264,['action']
265,"['crime', 'thriller', 'drama', 'action']"
266,"['horror', 'thriller']"
267,"['action', 'adventure', 'crime']"
268,"['adventure', 'fantasy', 'action']"
269,"['animation', 'comedy', 'family']"
270,"['action', 'thriller', 'crime']"
271,"['adventure', 'family', 'drama']"
272,"['animation', 'adventure', 'comedy', 'fantasy']"
273,"['drama', 'crime']"
274,['documentary']
275,"['scifi', 'action']"
276,"['animation', 'family', 'comedy', 'fantasy', 'adventure']"
277,"['adventure', 'fantasy', 'family']"
278,"['romance', 'animation', 'drama']"
279,['comedy']
280,"['adventure', 'action', 'scifi']"
281,"['crime', 'thriller', 'drama']"
282,"['crime', 'drama', 'thriller', 'action']"
283,"['comedy', 'drama']"
284,"['drama', 'action', 'thriller']"
285,"['adventure', 'fantasy', 'drama']"
286,"['comedy', 'romance']"
287,"['adventure', 'fantasy', 'action']"
288,['action']
289,"['crime', 'drama', 'comedy']"
290,"['animation', 'adventure', 'fantasy', 'family', 'tv movie']"
291,"['action', 'adventure', 'drama']"
292,"['action', 'adventure', 'comedy']"
293,"['animation', 'adventure', 'fantasy', 'action', 'family']"
294,"['animation', 'action', 'adventure', 'fantasy']"
295,"['scifi', 'action', 'adventure', 'comedy']"
296,"['drama', 'romance', 'thriller']"
297,['action']
298,"['animation', 'family', 'comedy', 'fantasy']"
299,"['animation', 'comedy', 'family', 'adventure']"
300,"['action', 'adventure', 'comedy']"
301,"['animation', 'comedy', 'family']"
302,['action']
303,['thriller']
304,"['animation', 'adventure', 'family', 'western']"
305,"['action', 'thriller']"
306,"['adventure', 'fantasy']"
307,"['animation', 'scifi', 'fantasy', 'action']"
308,"['horror', 'thriller', 'comedy']"
309,['action']
310,"['animation', 'action', 'scifi', 'drama']"
311,"['animation', 'family']"
312,"['animation', 'family', 'fantasy']"
313,"['scifi', 'adventure', 'mystery', 'action', 'thriller', 'fantasy', 'comedy']"
314,"['animation', 'comedy', 'action', 'family', 'crime']"
315,"['scifi', 'action']"
316,"['action', 'comedy']"
317,"['animation', 'family', 'adventure', 'comedy']"
318,['documentary']
319,"['animation', 'comedy', 'family', 'fantasy']"
320,['animation']
321,"['animation', 'scifi', 'action']"
322,"['fantasy', 'action', 'adventure']"
323,"['mystery', 'crime', 'drama', 'thriller']"
324,"['action', 'crime', 'horror', 'thriller']"
325,"['family', 'comedy']"
326,"['action', 'drama', 'horror', 'scifi', 'thriller']"
327,"['action', 'drama']"
328,"['action', 'adventure', 'scifi']"
329,['romance']
330,"['animation', 'comedy', 'family', 'music']"
331,"['adventure', 'action', 'thriller', 'scifi']"
332,"['action', 'horror', 'thriller']"
333,['comedy']
334,['drama']
335,"['action', 'adventure', 'fantasy']"
336,"['action', 'thriller', 'crime']"
337,"['action', 'adventure', 'scifi']"
338,"['adventure', 'fantasy', 'action']"
339,"['horror', 'action', 'fantasy']"
340,"['animation', 'comedy', 'romance', 'drama', 'fantasy']"
341,"['family', 'comedy', 'adventure', 'animation', 'fantasy']"
342,"['animation', 'action', 'scifi']"
343,"['animation', 'family', 'fantasy', 'comedy', 'music', 'adventure']"
344,['action']
345,"['adventure', 'action', 'scifi']"
346,"['drama', 'comedy', 'romance']"
347,"['fantasy', 'drama', 'romance', 'history']"
348,"['action', 'comedy', 'adventure']"
349,"['action', 'crime', 'thriller']"
350,"['fantasy', 'action']"
351,"['scifi', 'adventure', 'thriller']"
352,"['animation', 'action', 'scifi']"
353,"['horror', 'thriller']"
354,"['comedy', 'romance']"
355,['drama']
356,"['action', 'animation']"
357,"['adventure', 'fantasy']"
358,"['action', 'drama', 'horror', 'scifi', 'thriller']"
359,"['animation', 'music', 'family']"
360,"['animation', 'action', 'adventure', 'comedy', 'family', 'fantasy', 'scifi']"
361,"['action', 'comedy']"
362,"['animation', 'family', 'comedy', 'fantasy']"
363,['crime']
364,"['animation', 'action', 'fantasy']"
365,"['action', 'thriller']"
366,"['drama', 'romance']"
367,"['action', 'scifi', 'fantasy']"
368,"['action', 'thriller', 'crime']"
369,"['adventure', 'fantasy', 'action']"
370,"['animation', 'family', 'adventure']"
371,"['adventure', 'fantasy', 'action']"
372,"['comedy', 'drama', 'romance']"
373,['thriller']
374,"['animation', 'family', 'fantasy']"
375,"['comedy', 'romance']"
376,['horror']
377,"['action', 'horror', 'thriller']"
378,"['animation', 'family', 'adventure', 'fantasy']"
379,"['animation', 'fantasy', 'action']"
380,"['action', 'scifi', 'adventure']"
381,"['crime', 'thriller']"
382,"['comedy', 'romance', 'drama']"
383,"['animation', 'adventure', 'action', 'fantasy']"
384,"['family', 'fantasy', 'animation', 'romance']"
385,['horror']
386,['comedy']
387,"['adventure', 'comedy', 'family', 'fantasy']"
388,"['action', 'adventure', 'scifi']"
389,"['thriller', 'action', 'crime']"
390,"['comedy', 'family']"
391,"['family', 'adventure', 'animation', 'comedy', 'fantasy', 'drama']"
392,"['fantasy', 'drama', 'romance']"
393,"['crime', 'comedy', 'action', 'adventure']"
394,"['drama', 'crime']"
395,"['action', 'scifi', 'adventure']"
396,"['family', 'animation']"
397,"['drama', 'romance']"
398,"['adventure', 'fantasy', 'action']"
399,"['horror', 'thriller']"
400,"['comedy', 'romance']"
401,"['action', 'thriller']"
402,"['adventure', 'action', 'scifi', 'thriller']"
403,['crime']
404,"['action', 'thriller']"
405,"['drama', 'scifi', 'thriller']"
406,"['thriller', 'drama', 'crime']"
407,['drama']
408,"['adventure', 'family', 'animation']"
409,"['thriller', 'horror', 'mystery']"
410,"['action', 'adventure', 'drama', 'family']"
411,"['action', 'scifi', 'fantasy']"
412,"['comedy', 'family', 'romance']"
413,"['horror', 'thriller']"
414,"['action', 'adventure', 'scifi', 'fantasy', 'drama']"
415,"['action', 'adventure', 'scifi']"
416,"['animation', 'drama']"
417,"['animation', 'family']"
418,"['thriller', 'action']"
419,"['adventure', 'fantasy', 'action']"
420,['horror']
421,"['animation', 'family', 'comedy']"
422,"['animation', 'action']"
423,"['animation', 'drama', 'fantasy', 'romance']"
424,"['action', 'adventure', 'animation', 'family']"
425,['comedy']
426,['comedy']
427,"['action', 'scifi', 'adventure']"
428,['thriller']
429,"['horror', 'thriller', 'mystery']"
430,"['scifi', 'action', 'fantasy']"
431,"['action', 'fantasy', 'horror']"
432,"['action', 'adventure', 'scifi', 'thriller']"
433,['documentary']
434,"['action', 'adventure', 'drama']"
435,"['thriller', 'animation', 'action', 'comedy', 'horror', 'mystery']"
436,"['action', 'comedy', 'thriller', 'horror']"
